itemUrl,itemName,itemPrice,catchcopy,itemPriceMax3,itemCaption,reviewCount,shopName,shopUrl,platform,janCode
https://item.rakuten.co.jp/ojikaya/10000901/,鏡餅 かがみ餅 鏡もち 【お餅の色が選べる 鏡餅〈5合〉900g】送料無料 もち モチ お餅 丸餅 まる餅 無添加 つきたて 重ね餅 白餅 紅白餅 杵つき 飾り ミニ おしゃれ お歳暮 正月餅 お正月 正月 年末 年始 お供え 御供 法要 5合,2480,〈グルメ大賞5年連続受賞!〉〈餅ランキング1位受賞!〉やわらかさと心地よいコシがクセになる田舎の鏡餅。 鏡餅 かがみ餅 鏡もち 正月 お正月 餅 九州 長崎 おぢか屋,2480,商品内容 鏡餅（5合）：900g 商品詳細 【重ね〈純白〉】もち米(佐賀県産） 【重ね〈紅白〉】もち米(佐賀県産）、食用赤色3号 賞味期限 【12月～2月】到着日を含む15日間 【3月～11月】到着日を含む8日間 ※冷凍保存で長期保存が可能です。 製造者 一升餅の専門店 おぢか屋（株式会社おぢか屋） 長崎県佐世保市相浦町1563 電話 0120-946-991　メール rakuten@ojikaya.jp 配送 冷蔵便(ヤマト運輸) ※北海道・沖縄県は佐川急便にて発送させて頂きます。,6,一升餅の専門店【おぢか屋】,https://www.rakuten.co.jp/ojikaya/,Rakuten,
https://item.rakuten.co.jp/ojikaya/10000902/,鏡餅 かがみ餅 鏡もち 【お餅の色が選べる 鏡餅〈3合〉540g】送料無料 もち モチ お餅 丸餅 まる餅 無添加 つきたて 重ね餅 白餅 紅白餅 杵つき 飾り ミニ おしゃれ お歳暮 正月餅 お正月 正月 年末 年始 お供え 御供 法要 3合,1980,〈グルメ大賞5年連続受賞!〉〈餅ランキング1位受賞!〉やわらかさと心地よいコシがクセになる田舎の鏡餅。 鏡餅 かがみ餅 鏡もち 正月 お正月 餅 九州 長崎 おぢか屋,1980,商品内容 鏡餅（3合）：540g 商品詳細 【重ね〈純白〉】もち米(佐賀県産） 【重ね〈紅白〉】もち米(佐賀県産）、食用赤色3号 賞味期限 【12月～2月】到着日を含む15日間 【3月～11月】到着日を含む8日間 ※冷凍保存で長期保存が可能です。 製造者 一升餅の専門店 おぢか屋（株式会社おぢか屋） 長崎県佐世保市相浦町1563 電話 0120-946-991　メール rakuten@ojikaya.jp 配送 冷蔵便(ヤマト運輸) ※北海道・沖縄県は佐川急便にて発送させて頂きます。,4,一升餅の専門店【おぢか屋】,https://www.rakuten.co.jp/ojikaya/,Rakuten,
https://item.rakuten.co.jp/kutani-ya/mochi-l/,鏡餅 陶器 陶器製 マットな質感がモダン ぽてっとしたフォルムがかわいい陶器の鏡餅です♪カビの心配いらずで、忙しい年末にサッと準備できます！ 経済的 エコ 瀬戸焼 白磁 素焼き マットな質感 かがみ餅 お正月飾り お鏡餅 お正月 元旦 kagamimochi インテリア,2090,毎年、食べきれないお餅にウンザリしているなら、今年からは【陶器の鏡餅】！中にもち米や切り餅をいれることもできますよ♪,4543,商品情報サイズ上段：高さ（約）8.5cm × φ18.5cm下段：高さ（約）8.5cm × φ22cm重量約3kg生産国日本（瀬戸焼）ご留意事項・商品写真はできる限り実物の色に近づけておりますが、お客様が使用するパソコンのモニター環境により色の変化が感じられる場合がございます。・撮影のために使用した小物等は付属しておりません。この商品は 鏡餅 陶器 陶器製 マットな質感がモダン ぽてっとしたフォルムがかわいい陶器の鏡餅です♪カビの心配いらずで、忙しい年末にサッと準備できます！ 経済的 エコ 瀬戸焼 白磁 素焼き マットな質感 かがみ餅 お正月飾り お鏡餅 お正月 元旦 kagamimochi インテリア ポイント毎年、食べきれないお餅にウンザリしているなら、今年からは【陶器の鏡餅】！中にもち米や切り餅をいれることもできますよ♪ 歳神様を迎えるために供えるお供物 鏡餅の丸い形は【円満】を。ふたつ重ねることで【かさねがさね】を表しており、鏡餅とは【円満に年を重ねる】という意味を持っています。お正月に年神様が訪れる依り代となるのが鏡餅であり、年神様の御魂が宿るとされていました。年神様は新しい年の幸福や恵みだけではなく、魂をも分け与えてくださると考えられていたため、鏡餅の餅玉を分けて食べることで年神様の魂を自分の中に取り込んだのです。供えていた鏡餅を鏡開きの日に皆で食べることで、そこに宿った力を分けていただくと共に、一年間の健康や幸せを願いましょう。 ショップからのメッセージ 本物そっくり！？素焼き(陶器)の鏡餅です。素焼き独特の質感が本物より美しく感じます。鏡餅は上下に分かれますので、下の段にはお米や切り餅を入れてお供えすることができます。毎年、お餅が食べきれない、カビが生えて食べられなくなるといったこともなくなりますよ。もし、表面が汚れてしまった場合は、中性洗剤で洗うか紙やすり（目の細かいもの）で軽くこすってもらうと綺麗になります。陶器の鏡餅は「毎年飾ることができとても経済的」です。 納期について 【在庫がある場合】2〜5営業日以内に発送いたします。4,9,カタログギフト ギフトのくたにや,https://www.rakuten.co.jp/kutani-ya/,Rakuten,
https://item.rakuten.co.jp/baramochi/10000019002/,【もち米100％・無添加・手作り・杵つき餅】 重ね餅 鏡餅 1升 1800g 杵つき 無添加 広島県産 広島県産もち米100％ お正月 年末年始 お正月餅 謹賀 謹賀新年 もち もち米 餅 おもち お餅 きねつき 広島 まる餅 まるもち お鏡もち 丸餅 丸もち お供え 御供 法要 白餅,2980,地域の笑顔のために　厳選素材の手作り鏡餅　賞味期限製造日より20日程　無添加杵つき製法で毎日製造してます。焼いてよし、煮てよし、鍋に入れても溶けない餅になります,2980,商品情報名称鏡餅1升（1800g）原材料名水稲もち米（広島県産）内容量1800g賞味期限別途商品ラベルに記載（製造日より20日間）保存方法直射日光を避け、常温で保存してください。開封後はカビが生える事がありますのでお早めにお召し上がりください。製造者または販売者杵子の里　ばらもち本舗　千萬喜家広島県福山市草戸町【もち米100％・無添加・手作り・杵つき餅】 重ね餅 鏡餅 1升 1800g 杵つき 無添加 広島県産 広島県産もち米100％ お正月 年末年始 お正月餅 謹賀 謹賀新年 もち もち米 餅 おもち お餅 きねつき 広島 まる餅 まるもち お鏡もち 丸餅 丸もち お供え 御供 法要 白餅 地域の笑顔のために　厳選素材の手作り鏡餅　賞味期限製造日より20日程　無添加杵つき製法で毎日製造してます。焼いてよし、煮てよし、鍋に入れても溶けない餅になります 千萬喜家は素材にこだわり、体に優しく美味しいお餅を、一つ一つ丁寧に作っています。それは「地域の方が笑顔になる商品を作りたい」、「お子様にも安心して召し上がっていただける商品を作りたい」という弊社のこだわりです。その想いを胸に従業員一同、製造から包装まで丁寧に行っています。 2,0,ばらもち本舗　千萬喜家,https://www.rakuten.co.jp/baramochi/,Rakuten,
https://item.rakuten.co.jp/takidani/kagami-1syou/,鏡餅（1升）,3020,【もち米100％・杵つき・無添加・手作り】 奈良県宇陀産の餅米100％を杵つきでひとつひとつ 丁寧に手作りで仕上げました。無添加ですので安心してお召上がりいただけます。,3020,商品詳細 内容量 1升2200g前後、底面約20cm、高さ約10cm 原材料 奈良県宇陀産もち米、食塩 保存方法 無添加です。開封後はなるべく早くお召上がり下さい。（要冷蔵） 賞味期限 10月〜3月（4週間） （未開封・要冷蔵） 特徴 もち米100％・添加物は使っておりません。お届けは乾燥剤を入れて脱気パックになります。開封後の御供えはひび割れが生じますので、なるべく室温の低い場所で保管してください。手作りのため大きさに若干の誤差が生じます。乾燥具合により重量が前後いたします。【もち米100％・杵つき・無添加・手作り】 奈良県宇陀産の餅米100％を杵つきでひとつひとつ 丁寧に手作りで仕上げました。無添加ですので安心してお召上がりいただけます。もち米100％ですので焼き上げると香ばしくよく伸びます。,30,花の郷滝谷花しょうぶ園楽天市場店,https://www.rakuten.co.jp/takidani/,Rakuten,
https://item.rakuten.co.jp/kasityo/701217/,工房 CRAFTHOUSE ガラス製 鏡餅 白（大） 無垢 敷板・梅結び水引・和紙付き 箱入り ガラス鏡餅,8900,鏡餅 ガラス 置物 オブジェ おしゃれ かわいい 手作り ギフト プレゼント 正月 飾り モダン 吹きガラス インテリア コンパクト 毎年,8900,商品説明サイズ■（鏡餅）縦約8.5cmX横約8.5cmX高さ約10.5cm　（敷板）縦約9cmX横約12cmX高さ約0.9cm■重量　870g前後（鏡餅約800g＋敷板他約70g）■セット内容鏡餅1個、敷板1枚、水引1個、敷紙1枚■素材鏡餅／ガラス、敷板／木製、水引／紙（絹巻）、敷紙／和紙 ■電子レンジ×■食器洗浄機×　 ※ガラスはひとつひとつ制作していますので色の発色を含め、形もサイズも微妙に違います。また、ガラスの中に気泡が入ったり、制作過程で道具で触った跡や、吹き竿を切り離した跡などが残る場合があります。当店では、これらのことを手作りのガラスの表情であり個性と捉えていますので、予めご了承ください。 産地■日本/静岡県ガラス工房　CRAFTHOUSE 商品説明ガラス職人が、ひとつひとつ丹念に手作りで制作したガラスの鏡餅です。大人気の梅結び水引がついた白い鏡餅。皆様からのご要望にお応えして、大きめサイズの鏡餅（白）梅結び水引付きバージョンもご購入いただけるようになりました！ お餅のミルク色と橙（ダイダイ）のオレンジ色のコントラストが美しく、大きさのバランスも絶妙。お餅の部分は白と透明のガラスの二層構造になっており、上品な艶っぽさと、ぽってり感がとても愛らしいです。大サイズの鏡餅といっても、女性の手の平と同じくらいのサイズ。違和感なく他のインテリアとも馴染むけれど、堂々とした存在感もある、程よい大きさです。そして何といっても可愛い！小サイズとはまた違った、ずっしりとした重厚感と高級感があります。敷板（塗り台）をはじめ、写真のものが全てセットとなっていますので、届いてすぐにオシャレに飾っていただけます。金色の和紙に小梅の水引がお正月にぴったり。お正月ならではの厳かさと華やかさを備えています。玄関先やリビング、職場では受付カウンターやレジの横など、ちょっとしたスペースにどうぞ。お世話になった方への贈答品として、また、友人、親世代、子ども世代、孫世代へのプレゼントにも喜ばれます。ガラスなので毎年繰り返し使うことができ、お正月が来るのが待ち遠しくなる可愛さです！ご購入前にご確認下さいガラスは耐熱性ではございません。したがって熱湯や熱い料理等は製品を破損しますので、ご注意ください。1. 急激な温度変化に耐えられません熱湯、熱い料理、沢山の氷を一度に入れる、冷凍庫に入れる等の行為は、作品を破損させます。2. 手洗いと手拭きのすすめ食器洗浄機は熱湯、熱風による洗浄機能がありますので、お手入れには不向きです。3. 電子レンジの使用禁止急激に熱くなりますので、使用できません。4. 保管についてガラスはキズがつくと破損し易い性質があります。重ねたり、ガラス器同士など堅いものにぶつけたりしないように扱ってください。5. 定期的な洗浄のすすめガラス製品は長期間洗わないと、汚れが落ちにくくなったり、曇りがでてきたりします。適宜洗うようにしてください。ガラス職人が、ひとつひとつ丹念に手作りで制作したガラスの鏡餅です。大人気の梅結び水引がついた白い鏡餅。皆様からのご要望にお応えして、大きめサイズの鏡餅（白）梅結び水引付きバージョンもご購入いただけるようになりました！お餅のミルク色と橙（ダイダイ）のオレンジ色のコントラストが美しく、大きさのバランスも絶妙。お餅の部分は白と透明のガラスの二層構造になっており、上品な艶っぽさと、ぽってり感がとても愛らしいです。大サイズの鏡餅といっても、女性の手の平と同じくらいのサイズ。違和感なく他のインテリアとも馴染むけれど、堂々とした存在感もある、程よい大きさです。そして何といっても可愛い！小サイズとはまた違った、ずっしりとした重厚感と高級感があります。敷板（塗り台）をはじめ、写真のものが全てセットとなっていますので、届いてすぐにオシャレに飾っていただけます。金色の和紙に小梅の水引がお正月にぴったり。お正月ならではの厳かさと華やかさを備えています。玄関先やリビング、職場では受付カウンターやレジの横など、ちょっとしたスペースにどうぞ。お世話になった方への贈答品として、また、友人、親世代、子ども世代、孫世代へのプレゼントにも喜ばれます。ガラスなので毎年繰り返し使うことができ、お正月が来るのが待ち遠しくなる可愛さです！→小サイズはコチラからご購入いただけます,85,作家の器と雑貨のお店　カシテュエ,https://www.rakuten.co.jp/kasityo/,Rakuten,
https://item.rakuten.co.jp/f402206-munakata/ka1185/,【ふるさと納税】鏡餅 大 KM-N2【粋工房 】_HA1185 送料無料,41000,かわいらしいガラスの鏡餅の置物。毎年繰り返し使える便利な鏡餅です。,41000,【名称】【ふるさと納税】鏡餅 大 KM-N2【粋工房】_HA1185 【内容量】寸法：12cm(幅)×13cm(高さ)　重さ：約2.3kg　 【原材料】素材：ソーダガラス 【原産地】福岡県宗像市田野 【のし対応】可 【表書き】可 【事業者】粋工房 株式会社：0940-62-0272 【配送不可地域】ヤマト運輸の配送不可地域 【お届けまでの期間】ご入金確認後、1〜2ヶ月程度 ・ふるさと納税よくある質問はこちら ・寄附申込みのキャンセル、返礼品の変更・返品はできません。あらかじめご了承ください。ガラスの鏡餅の置物です。 ガラスですので、毎年お使い頂けます。 職人が一つ一つ丁寧に仕上げています。 「ふるさと納税」寄附金は、下記の事業を推進する資金として活用してまいります。 寄附を希望される皆さまの想いでお選びください。 (1) コミュニティ活動又は市民活動の推進 (2) 教育又は子育て環境の充実 (3) 観光又は地域産業の振興 (4) 文化芸術又はスポーツの振興 (5) 世界遺産登録又は文化財保護 (6) 防災防犯などの安全安心なまちづくり (7) 都市ブランド、定住化の推進又は団地再生 (8) スポーツ大会開催を通じた交流及び経済の活性化 (9) 新型コロナウイルス感染症対策 (10)自治体におまかせ ご希望がなければ、市政全般に活用いたします。 入金確認後、注文内容確認画面の【注文者情報】に記載の住所にお送りいたします。 発送の時期は、寄附確認後2週間以内を目途に、お礼の特産品とは別にお送りいたします。,0,福岡県宗像市,https://www.rakuten.co.jp/f402206-munakata/,Rakuten,
https://item.rakuten.co.jp/blossomgarden/10000702/,【木製 鏡餅】2024年 5点セット　お正月 飾り 木製鏡餅　オブジェ 新年 インテリア 置物　お飾り 毎年使える 3個以上は宅配便になります。,4480,,4480,毎年飾れる木製の鏡餅です。 昨年も大変多くのご反響を頂き、誠にありがとうございます。多くのお客様にお待ち頂いたのに関わらず、最後は在庫切れになってしまい誠に申し訳ございません。 【値上げのご案内】 昨今の「ウッドショック」により、木材の高騰が続き、どうしても昨年同様の価格を維持することが困難になってしまいました。お客様のご負担が大きくなってしまいますこと大変お詫び申し上げます。より一層、お客様に喜んで頂ける商品になりますよう、今年度も丁寧に製作をさせて頂きます。 【商品説明】 職人がひとつひとつ手作業で仕上げております。 お正月に温もりある木製オブジェを飾りませんか？ 台座を使えば洋風になり、四方紅紙・裏白(葉)を使えば和風になります。 台座の上に四方紅紙・裏白(葉)を乗せると台座が隠れてしまうため、お部屋にあった方でお使いください。 台座のカラーを2種類からお選びください。 すべて手作業のため、お届けする商品によって多少の色ムラ、ざらつき、傷、表記サイズの誤差が生じる場合がございます。 ◆配送方法のお願い◆ 2個まではメール便になります。2個以下で宅配便を選択されてもメール便に変更して配送させていただきます。 3個以上は宅配便となります。 万が一、配送によるヒビ割れや破損があった場合はお手数をおかけいたしますが、当店までご連絡くださいませ。 ■5点セット内容■ ・鏡餅・橙(ミカン)・台座・四方紅紙・裏白(葉) ■サイズ■ 鏡餅＋橙　外寸約：幅7.7〜8.0cm×奥行き7.7×8.0cm×高さ8.0〜8.5cm (すべて手作りのため、サイズに多少の誤差が生じます) ○台座：縦 約10cm×横 約10cm×厚み1.2cm ○四方紅紙：縦 約11.7cm×横 約11.7cm ○裏白(葉)：縦 約15.5cm×横 約15.5cm ■材質■ ○鏡餅・橙(みかん)：天然木 ○裏白：ビニール製 ○橙の葉：ビニール製 ○四方紅：紙製 ○台座：ダークブラウン（ウォールナット材）・ナチュラルブラウン（ナラ材） ■塗料■ 〇橙(みかん)：水性塗料 ○鏡餅：無塗装 〇台座：天然オイル塗装 三宝付き木製鏡餅もございます。 新登場の『木製金色鏡餅』です。,74,富田木工所,https://www.rakuten.co.jp/blossomgarden/,Rakuten,
https://item.rakuten.co.jp/yamako-showten/10001421/,陶器製 きがいい鏡餅 大サイズ数量限定 特価サイズ約 上　高さ8.5cm×幅Φ18.5cm　下　高さ8.5cm×幅Φ22cm 神棚 神具 仏具 盆提灯 やまこう 山幸,4279,お正月飾り 縁起物 期間限定 新年 新春 神具 手間いらず かびない 腐らない,4279,商品詳細 国産、「せともの」陶器製の鏡餅となります。 かびない・腐らない鏡餅。当店今季在庫限り品を特価にて販売中です。ご家庭、店舗などに。 サイズ約(cm) 大サイズ上　高さ8.5cm×幅Φ18.5cm下　8.5cm×幅Φ22cm 注意事項 三宝台、紙、ミカンは付属しません。本体と専用箱の販売となります。 送料 「送料ご案内ページ」をクリックしてご確認ください。 神棚・神具・仏具　やまこう 盆提灯 初盆一覧 盆提灯 ミニサイズ一覧 盆提灯 コードレス一覧 盆提灯 神道用一覧,4,神棚・神具・仏具　やまこう,https://www.rakuten.co.jp/yamako-showten/,Rakuten,
https://item.rakuten.co.jp/hasegawa-craft/kagami01sk/,"磁器の鏡餅　送料無料　白磁マットのは本物の鏡餅と見間違うほどの滑らかな肌合い　モダンな空間にぴったり　鏡餅陶器　焼き物,陶器の鏡餅　おしゃれな　鏡餅飾り　正月飾り　鏡餅置物　鏡もち　蓋物　お雛様　招き猫　インテリア　鏡もち　かがみもち",9850,磁器の鏡餅、送料無料　モダンな空間にぴったり　焼き物、陶器の鏡餅　鏡餅飾り　正月飾り　　鏡餅置物　蓋物　お雛様　招き猫　インテリア,9850,■磁器の鏡餅、白磁マットの本物の鏡餅と見間違うほどの、滑らかな肌合いです。 ■お正月が終わると、鏡餅以外にも様々な用途に変化します。 ■蓋物になっていて、物入として便利に使えます。 ■付属のシールを使い、「雪だるま」「お雛様」「招き猫」お楽しみいただけます。 ■小さな橙は一輪挿しとなっています。葉っぱは造花を付属しております。お近くの生花を準備し、差してください。 ■赤い台はMDF合板製でウレタン塗装が施されています。 ※手作業を中心に制作しており、焼物の特性上、形、 サイズ、色、釉調（マット雰囲気）、かみ合わせ、重量等に多少のバラつきがございます。 ■サイズ（約）本体13×13×8.5cm（餅下段直径13cm、上段10cm、重ねた時の高さ8.5cm）橙4×4×3cm　飾り台17×17×1cm　 セットした全体の高さ（約）12.5cm 磁器の鏡餅　陶器の鏡餅　鏡餅置物磁器の鏡餅　陶器の鏡餅　鏡餅置物,32,長谷川陶磁器工房,https://www.rakuten.co.jp/hasegawa-craft/,Rakuten,
