itemUrl,itemName,itemPrice,catchcopy,itemPriceMax3,itemCaption,reviewCount,shopName,shopUrl,platform,janCode
https://store.shopping.yahoo.co.jp/oa-plaza/oa-cel-j4115-pk.html,ノートパソコン 新品パソコン 第13世代 CPU Intel N95 N4000 N5095 15型 14型 メモリ 8GB 12GB SSD 256GB 1TB Windows11 Microsoft office 搭載 オフィス付き,23800,,,安価なノートパソコンには希少なJIS規格日本語配列キーボードです。<br>3種類ございます。<br><br>【15インチ】<br>CPU：13世代 Intel AlderLake N95<br>メモリ：12GB<br>SSD：256GB<br><br>【14インチ(1)】<br>CPU：11世代 Celeron N5095<br>メモリ：8GB<br>SSD：256GB<br><br>【14インチ(2)】<br>CPU：9世代 Celeron N4000<br>メモリ：8GB<br>SSD：256GB<br><br>［共通機能］<br>Microsoftoffice2019搭載 ※初期設定済み  初期設定不要<br>Bluetooth、USB3.0、Type-C、HDMI、WEBカメラ、無線LAN<br><br>薄 オフィス付き すぐ使える 搭載 安い なし 新品 office付き おしゃれ 14インチ 女性 薄型 軽量 15.6 初心者 なし ハイスペック マウス,214,パソコン総合ショップOA-PLAZA,https://store.shopping.yahoo.co.jp/oa-plaza/,Yahoo,
https://store.shopping.yahoo.co.jp/oa-plaza/oa-corem-5y51.html,ノートパソコン 新品 office搭載 Windows11 日本語配列キーボード 15インチフルHD 第13世代CPU Intel N95 メモリ12GB SSD 256GB 搭載 安い オフィス付き,38800,,,[製品名]　ノートパソコン　新品パソコン ノートPC<br><br>[ディスプレイサイズ]　15.6インチワイド　期間限定　高解像度　1920*1080　フルHD画面へ無償アップグレード<br><br>[ＣＰＵ] 　 第13世代 Intel AlderLake N95<br><br>[メモリー]　8GB→12GB　期間限定無償アップグレード　動作サクサク<br><br>[ストレージ] 新品M.2 NVMe SSD256GB<br><br>[光学ドライブ]　無し<br><br>[ネットワーク]　 WIFI内蔵<br><br>[搭載ＯＳ]　Windows11<br><br>[型式］ENVY15PA<br><br>[付属品]　電源ケーブル<br><br> Bluetooth  付き<br>インターフェース USB3.0、USB Type-C、HDMI、WEBカメラ<br>日本語配列（JIS規格）キーボード仕様<br><br>※2024年2月15日に仕様変更致しました。<br>変更内容：JIS配列日本語キーボードに変更。<br><br>※仕入れ時期により外観変わる場合があります、サムネイル画像はイメージとなります。<br>※当店オリジナルモデルにつきマイナーチェンジを行うことがあるため購入時期により外観やスペック等が変わる場合がございます。<br>☆特典☆ Microsoftoffice2019搭載、注意事項は買い物ガイドご確認ください。<br>オーエープラザ,755,パソコン総合ショップOA-PLAZA,https://store.shopping.yahoo.co.jp/oa-plaza/,Yahoo,
https://store.shopping.yahoo.co.jp/koisuruusagi-shop/dn1.html,ノートパソコン 新品 安い windows11 office 搭載 win11 pc Microsoftoffice 第12世代 CPU N5095 N95 SSD 1000GB 14.1/15.6/16/17.3インチ 初期設定済,28980,,,【商品情報】<br>画面：14.1“/15.6“ 1920*1080 FHD IPS<br>CPU：Celeron N3350/J4025/N5095/N95<br>GPU：Intel UHD Graphics<br>OS：Windows 11pro<br>運転メモリ：6G/8G/12G/16G/32G<br>SSD：128G/256G/512G/1024G/2048G<br>Wifi：2.4G+5G 2周波数WiFi+Bluetooth<br>ケース材質：ABSプラスチック/アルミニウム合金<br>キーボード：84/100チョコレートキーボード/15.6inch仕様-バックライトキーボード（テンキー付き）<br>カメラ：30万<br>バッテリ：4000/5000mAH<br>電源アダプタ：12V2A/12V3A<br>インタフェース：USB3.0x2、TFインタフェース*1、ヘッドフォンマイク2in1x1、MINI HDMIx1、DC-INx1<br>サイズ（薄いところ9mm）：14.1inch:約310mm*210mm*15mm/15.6inch:約358mm*230mm*18mm/16inch:約370mm*240mm*18mm<br><br>※英語キーボード配列<br>※Microsoftoffceの認証手順は、ご商品お届け後当店へお問い合わせください。<br>※パソコンタイプが違う場合、外観や接続口も違いますので、ご注意ください。<br><br>検索キーワード<br>子供 誕生日 フルHD液晶 プレゼント テンキー 第11世代 corei7 メモリ16GB 12/16gb 2024 14/15.6インチ ノート 持ち運び 在宅勤務 父の日 母の日 敬老の日 オフィス付き office2021,947,koisu,https://store.shopping.yahoo.co.jp/koisuruusagi-shop/,Yahoo,0759224141579
https://store.shopping.yahoo.co.jp/rizonarano/bjb2401.html,ノートパソコン windows11 新品  office搭載 corei7 N95 N5095  第12世代CPU 14/15.6/17.3インチ ノート メモリ16GB 32G  SSD 1000GB フルHD液晶 初期設定済,28980,,,【商品情報】<br>画面：14.1“/15.6“ 1920*1080 FHD IPS<br>CPU：Celeron N3350/J4105/N5095/N95 Core i5/i7<br>GPU：Intel UHD Graphics<br>OS：Windows 11pro<br>運転メモリ：6G/8G/12G/16G/32G<br>SSD：128G/256G/512G/1024G/2048G<br>Wifi：2.4G+5G 2周波数WiFi+Bluetooth<br>ケース材質：ABSプラスチック<br>キーボード：84/100チョコレートキーボード/15.6inch仕様-バックライトキーボード（テンキー付き）<br>カメラ：30万<br>バッテリ：4000/5000/6000mAh<br>電源アダプタ：12V2A/12V3A<br>インタフェース：USB3.0x2、TFインタフェース*1、ヘッドフォンマイク2in1x1、MINI HDMIx1、DC-INx1<br>サイズ（薄いところ9mm）：14.1inch:約310mm*210mm*15mm/15.6inch:約358mm*230mm*18mm/16inch:約370mm*240mm*18mm<br><br>※英語キーボード配列<br>※スペックオプション選択した場合、本体色とデザインが変わります。<br><br>検索キーワード<br>ノートパソコン office モバイルPC モバイル ノートPC WEBカメラ 安い 軽い 軽量 新品 ノートPC Windows 11 新品パソコン オフィス付き<br>ノート SSD 14.1インチ 15.6インチ 無線 Wi-Fi 持ち運び 在宅勤務 テレワーク プレゼント ギフト 父の日 母の日 敬老の日 子供誕生日,5,リゾナラノストア,https://store.shopping.yahoo.co.jp/rizonarano/,Yahoo,
https://store.shopping.yahoo.co.jp/kimuraya-select/4422179016.html,【推奨品】NEC PA-WX5400HP 無線LANルータ Aterm ブラック,17580,,,【推奨品】NEC　PA-WX5400HP　無線LANルータ　Aterm　ブラック 126,1,キムラヤYahoo!店,https://store.shopping.yahoo.co.jp/kimuraya-select/,Yahoo,4550161442844
https://store.shopping.yahoo.co.jp/sowa-shop/aio-19i5.html,ヤフーランキング1位 新品一体型PC 一体型パソコン  22型 Office付き デスクトップ CPUインテル第二世代  Core i5 メモリ8GB SSD 256GB キーボードとマウス付属,39880,,,商品説明<br>メーカー：VETESA<br>型番：22Y-i52-win11<br>OS： Windows11 64 ビット<br>プロセッサ ：Intel Core i5 2520M<br>Office： WPS Office<br>メモリ（RAM）： 8GB<br>HDD/SSD SSD：256GB<br>光学ドライブ： 無し<br>ディスプレイ： 22インチ<br>プロセッサ数： 4<br>プロセッサの速度： 2.30GHz<br>有線LAN： 有り<br>無線LAN： 対応 / 外付USB無線LANアダプター<br>ウイルス対策ソフト： 無し(KINGSOFT セキュリティ同封オプション有り）<br><br>付属品 <br>製品保証カード（一年無料保証）<br>ACアダプター<br><br>付属品プレゼント<br>キーボードとマウス付属 (選択可能）<br>windows11 ユーザーガイド付属<br><br>保証について： 製品到着後、７日以内のご返品承ります（ご返送送料お客様負担）<br>修理/交換保証：製品到着より１年間有効（水濡れや落下など、お客様要因による不具合と判明した場合は保証対象外）,180,VETESA,https://store.shopping.yahoo.co.jp/sowa-shop/,Yahoo,
https://store.shopping.yahoo.co.jp/yamada-denki/4422179016.html,【推奨品】NEC PA-WX5400HP 無線LANルータ Aterm ブラック,17580,,,【推奨品】NEC　PA-WX5400HP　無線LANルータ　Aterm　ブラック 126,75,ヤマダデンキ Yahoo!店,https://store.shopping.yahoo.co.jp/yamada-denki/,Yahoo,4550161442844
https://store.shopping.yahoo.co.jp/pc-m/20198161452.html,ノートパソコン Windows11 Office付 第七世代Core i3 5Gwifi対応 中古パソコン 新品メモリ8GB/SSD128GB/HDD500GB選択 テンキー Bluetooth 大画面 中古ノートPC,14650,,,[製品名]　中古パソコン　ノートパソコン 　東芝、NEC、富士通など<br><br>[ディスプレイサイズ]　15.6インチ<br><br>[ＣＰＵ] 　第7世代Corei3若しくは第6世代Corei5<br><br>[メモリー]　8GB<br><br>[ＨＤＤ]　ストレージ：HDD500GB/SSD128GB<br><br>[光学ドライブ]　無し（外付けドライブオプションから追加可能です）<br><br>[内蔵スピーカー]　あり<br><br>[ネットワーク]　有線LANあり　内蔵/USB無線LAN　Bluetooth<br><br>[搭載ＯＳ]　Windows11 64bit<br><br>[付属品]　ACアダプター<br><br>出荷時搭載オフィスソフト選択可能<br>キングソフトWPS Office、<br>MicrosoftOffice2021 「Word、Excel、PowerPoint、Outlook」<br><br>中古品の為、本体と天板にキズや摩耗、塗装剥げ、キーボードの文字消えやテカリ、<br>液晶画面にキズやシミ等がある場合がございます。<br>サムネイル画像はイメージとなります。<br>中古バッテリーは経年劣化の為、ご使用頂けない可能性があります。バッテリー動作は保証対象外となります。<br><br>関連カテゴリ　ノートパソコン 安い　ノートパソコン 中古　中古パソコン オフィス付き　中古パソコン ノートパソコン　中古パソコン ノート office搭載　中古パソコン SSD　パソコン 中古,460,パソコン専門店PC-M,https://store.shopping.yahoo.co.jp/pc-m/,Yahoo,
https://store.shopping.yahoo.co.jp/joshin/0718037898346-44-23457.html,Western Digital(ウエスタンデジタル) 3.5インチ内蔵ハードディスク WD Blue 8TB 簡易パッケージ WD80EAAZ 返品種別B,17800,,,在庫状況：在庫あり/2023年12月 発売/【ご購入後のお問い合わせにつきまして】本製品に関するご質問、不具合等につきましては(テックウインドサポートページ)へお問い合わせください。［テックウインドサポートページ］https:/www.tekwind.co.jp/support/support_line.php［HDD診断ツール］Western Digital Dashboard◆インターフェース ： SATA 6 Gb/s◆書き込み方式 ： CMR◆回転速度 ： 5640 rpm◆キャッシュ ： 256MB/[WD80EAAZ],4,Joshin web,https://store.shopping.yahoo.co.jp/joshin/,Yahoo,0718037898346
https://store.shopping.yahoo.co.jp/hikaritv/2010055285.html,マカフィー リブセーフ 3年版 MLS00JNRMR3YM,4980,,,ウィルス対策 セキュリティ,89,ひかりTVショッピングYahoo!店,https://store.shopping.yahoo.co.jp/hikaritv/,Yahoo,9760067378528
